name,#,wpm,accuracy,raw,date,consistency
MadFlays,1748,186.28,97.53%,194.27,87.61%,12 Oct 2021,02:06
GamingKenan,1749,186.28,96.39%,199.07,92.13%,27 Oct 2022,19:29
wheatb0y,1750,186.28,96.37%,198.27,92.39%,01 Dec 2021,07:27
wheatb0y,1750,186.28,96.37%,198.27,92.39%,01 Dec 2021,07:27
azzlam,1751,186.28,94.82%,200.68,26.97%,22 Mar 2021,20:44
wkaysea,1752,186.27,100.00%,186.27,89.52%,28 Sep 2023,02:33
ninelives,1753,186.26,96.28%,186.26,85.18%,13 Aug 2023,10:04
CatCat,1754,186.26,95.97%,197.45,85.71%,17 May 2021,03:34
Computed,1755,186.23,100.00%,186.23,91.57%,22 Oct 2023,01:01
amsb24,1756,186.23,98.75%,191.02,89.79%,25 Nov 2023,18:53
drchill,1757,186.15,100.00%,186.15,93.41%,27 Feb 2023,11:27
Aquaed,1758,186.15,99.16%,194.14,85.79%,18 May 2023,17:32
dondo,1759,186.15,95.08%,210.92,83.30%,06 Dec 2022,08:07
hectate1,1760,185.80,99.57%,185.80,81.66%,26 Aug 2023,12:56
Osukaa_Z,1761,185.60,100.00%,185.60,92.97%,26 Aug 2023,19:15
qsyl,1762,185.60,100.00%,185.60,89.75%,18 Jul 2023,02:42
derpypanda,1763,185.60,100.00%,185.60,90.60%,12 Jul 2023,16:07
dalfie,1764,185.60,100.00%,185.60,91.87%,25 Jun 2023,01:44
n0tj3bb,1765,185.60,100.00%,185.60,88.71%,16 Jun 2023,05:46
ShadowUnknown,1766,185.60,100.00%,185.60,87.99%,01 Jun 2023,06:25
0ugi,1767,185.60,100.00%,185.60,88.71%,27 May 2023,10:28
DeaTT,1768,185.60,100.00%,185.60,88.71%,16 Apr 2023,11:25
EsanSanSan,1769,185.60,100.00%,185.60,89.75%,13 Mar 2023,23:50
the_guy,1770,185.60,100.00%,185.60,90.60%,13 Mar 2023,23:41
YuumiTyping,1771,185.60,100.00%,185.60,93.38%,01 Jan 2023,04:47
RedParadox,1772,185.60,100.00%,185.60,87.10%,07 Dec 2022,21:15
Liech.,1773,185.60,100.00%,185.60,88.47%,16 Oct 2022,12:56
dafler,1774,185.60,100.00%,185.60,90.02%,01 Sep 2022,22:52
eicosa,1775,185.60,100.00%,185.60,91.21%,06 Aug 2022,04:21
mentalpatient,1776,185.60,100.00%,185.60,90.60%,09 Jun 2022,09:24
kip__,1777,185.60,100.00%,185.60,87.54%,31 May 2022,23:38
virtuallyglace,1778,185.60,100.00%,185.60,90.02%,31 May 2022,16:26
Dunklioscious,1779,185.60,100.00%,185.60,90.90%,28 May 2022,22:45
Ancyano,1780,185.60,100.00%,185.60,87.54%,02 Feb 2022,20:36
Zervane,1781,185.60,99.57%,185.60,85.34%,15 May 2022,14:52
LazyBobby240,1782,185.60,99.16%,189.60,91.29%,22 Jul 2022,22:46
keebsanonymous,1783,185.60,98.74%,191.20,87.14%,18 Apr 2023,23:32
Krillix,1784,185.60,98.74%,191.20,92.59%,06 Jul 2022,16:22
XxOoEthanoOxX,1785,185.60,98.73%,189.60,90.14%,07 Nov 2023,15:21
fatchunkus,1786,185.60,98.73%,188.80,93.25%,08 Mar 2023,02:14
TYPEMESKULL,1787,185.60,98.73%,189.60,91.60%,30 Dec 2021,16:05
typinglol141,1788,185.60,98.72%,185.60,85.89%,16 Nov 2022,07:46
TheAlecai,1789,185.60,98.32%,190.40,86.03%,19 Jun 2022,15:45
Polaria,1790,185.60,98.31%,185.60,84.01%,01 Apr 2023,19:21
hvvitou,1791,185.60,97.92%,192.00,90.59%,24 Apr 2023,11:05
udontran,1792,185.60,97.90%,190.40,92.77%,24 Aug 2022,02:34
Logan_Woo,1793,185.60,97.90%,190.40,92.07%,10 Jun 2022,08:55
Aquapig95,1794,185.60,97.52%,193.60,93.65%,12 Dec 2021,23:52
QuackerDeezles,1795,185.60,96.36%,197.60,91.17%,22 Mar 2023,14:33
dylanmi,1796,185.59,100.00%,185.59,88.71%,28 Oct 2023,23:25
gingerbready,1797,185.59,96.75%,193.59,90.35%,30 Nov 2023,00:55
wongyixun,1798,185.58,100.00%,185.58,92.58%,08 Oct 2023,10:52
c0upe12,1799,185.58,99.15%,187.97,90.20%,23 Nov 2023,18:01
EpicGamerEpic,1800,185.58,98.74%,190.38,92.07%,18 Dec 2023,13:11
EpicGamerEpic,1800,185.58,98.74%,190.38,92.07%,18 Dec 2023,13:11
mechacafe,1801,185.58,98.73%,189.58,93.80%,10 Oct 2023,21:24
xukel,1802,185.57,99.58%,189.57,94.25%,04 Jul 2021,18:31
jahre,1803,185.57,98.72%,185.57,85.89%,23 Nov 2023,12:21
bztravis88,1804,185.57,98.33%,191.17,87.77%,09 Nov 2023,10:56
Ballsinmy,1805,185.57,97.92%,191.97,92.78%,16 Oct 2023,23:25
meekoi,1806,185.56,100.00%,185.56,92.22%,28 Nov 2023,09:58
D1sRuPti0n,1807,185.56,100.00%,185.56,90.30%,05 Sep 2023,13:19
andyvnguyen,1808,185.56,100.00%,185.56,92.22%,01 Nov 2020,19:34
Trent,1809,185.56,98.76%,192.76,92.30%,23 Sep 2023,16:13
bennyisaduck,1810,185.56,97.56%,196.76,89.60%,06 Nov 2023,15:58
PleaseBTryHard,1811,185.55,100.00%,185.55,89.48%,13 Dec 2023,12:28
blaled,1812,185.55,96.27%,185.55,90.32%,02 Oct 2023,15:32
sojoyes,1813,185.54,100.00%,185.54,92.97%,13 Aug 2023,06:16
luma,1814,185.54,100.00%,185.54,89.75%,16 Mar 2021,16:21
Citadel,1815,185.54,100.00%,185.54,83.33%,23 Feb 2021,15:35
acaer,1816,185.54,98.74%,190.34,90.00%,28 Oct 2023,21:12
josephbondoc,1817,185.53,100.00%,185.53,89.22%,18 Oct 2023,03:41
SUsPIRO72,1818,185.53,100.00%,185.53,86.47%,27 Feb 2021,06:05
beebokycom,1819,185.52,98.75%,191.92,88.36%,10 Oct 2023,17:10
datoucai,1820,185.51,100.00%,185.51,91.53%,19 Aug 2023,15:57
G-BabyOnBabt,1821,185.49,99.16%,189.49,87.09%,16 Dec 2023,00:17
Underlingtypist,1822,185.49,98.75%,191.88,89.06%,10 Dec 2023,20:52
michaelkellam,1823,185.48,100.00%,185.48,90.90%,26 Jul 2023,20:15
duckstep,1824,185.48,100.00%,185.48,93.38%,03 Jul 2023,10:08
synthh,1825,185.48,100.00%,185.48,85.47%,29 May 2023,11:46
D3ADE7E,1826,185.48,100.00%,185.48,90.02%,28 Mar 2023,20:03
DGhost,1827,185.48,100.00%,185.48,94.28%,26 Mar 2023,14:55
Parenphernalia,1828,185.48,100.00%,185.48,90.02%,31 Jan 2023,22:59
WalkToMordor,1829,185.48,100.00%,185.48,90.60%,09 Nov 2022,00:24
Gogeta.,1830,185.48,100.00%,185.48,87.54%,27 Oct 2022,09:04
whitezetra,1831,185.48,100.00%,185.48,91.53%,04 Oct 2022,09:15
SlowWilli69,1832,185.48,100.00%,185.48,89.75%,24 Sep 2022,14:37
I8achopstick,1833,185.48,100.00%,185.48,83.00%,02 Aug 2022,08:16
Akuasu,1834,185.48,100.00%,185.48,92.58%,30 Jun 2022,14:57
ericifyable,1835,185.48,100.00%,185.48,88.47%,01 Mar 2022,14:44
raot,1836,185.48,100.00%,185.48,90.02%,03 Oct 2021,20:24
Thewiccaman,1837,185.48,99.58%,191.87,89.30%,22 Nov 2023,02:04
jayday322,1838,185.48,99.58%,189.47,83.14%,10 Feb 2023,11:35
aaronlikes2type,1839,185.48,99.57%,185.48,85.92%,16 Feb 2023,11:18
Speedy_hs,1840,185.48,99.16%,189.47,86.89%,09 Nov 2022,19:18
asdfasdfasdf,1841,185.48,98.76%,192.67,87.66%,17 Mar 2022,10:46
mrbaconpants,1842,185.48,98.74%,190.27,85.84%,20 Nov 2022,14:19
Sannas,1843,185.48,98.31%,188.67,84.52%,25 Jun 2023,11:22
hyprsw,1844,185.48,98.31%,189.47,91.60%,14 Jan 2023,18:23
gustesmil,1845,185.48,97.50%,190.27,85.39%,27 Mar 2022,11:43
mammo,1846,185.48,97.20%,199.87,87.87%,19 May 2022,14:16
qwertron,1847,185.48,96.75%,196.67,90.35%,23 Sep 2022,01:42
keeber,1848,185.48,95.95%,197.47,87.88%,20 Jul 2022,13:59
BOBROSSISGAY,1849,185.48,95.29%,203.86,66.73%,09 Mar 2023,19:55
Oimanbro,1850,185.47,100.00%,185.47,87.76%,18 Dec 2023,23:23
Oimanbro,1850,185.47,100.00%,185.47,87.76%,18 Dec 2023,23:23
opsupertrex,1851,185.47,98.33%,189.47,89.14%,15 Aug 2023,02:04
foxandknife,1852,185.46,100.00%,185.46,91.87%,20 May 2021,19:51
andyalbany,1853,185.45,98.73%,189.44,91.93%,19 Aug 2023,16:43
darrio-g-hhkb,1854,185.45,98.35%,194.24,90.38%,26 Nov 2023,07:54
cogent,1855,185.42,99.57%,185.42,87.82%,17 Nov 2023,17:02
shibo_speed,1856,185.41,100.00%,185.41,83.84%,16 Oct 2023,11:54
riblanc,1857,185.38,100.00%,185.38,92.97%,22 Dec 2023,17:27
yeet529,1858,185.38,100.00%,185.38,87.54%,07 Sep 2023,15:40
hydrodoy,1859,185.37,98.73%,185.37,85.35%,07 Oct 2023,15:56
AliHabibiIssa,1860,185.35,100.00%,185.35,92.58%,07 Mar 2023,13:39
Zyrusse,1861,185.35,98.73%,185.35,82.87%,09 Jul 2023,02:30
Kagamine_Len,1862,185.35,96.34%,196.54,94.19%,18 Feb 2023,02:32
goyz.bossran,1863,185.27,99.57%,187.67,89.93%,04 Dec 2023,13:51
theluckyone907,1864,185.23,100.00%,185.23,92.58%,24 Feb 2023,14:10
MagicalMC,1865,184.80,100.00%,184.80,87.73%,16 Jul 2023,22:06
Matthew5326,1866,184.80,100.00%,184.80,88.93%,09 Jul 2023,22:23
Cthulu,1867,184.80,100.00%,184.80,93.82%,18 Jun 2023,08:51
sparky116,1868,184.80,100.00%,184.80,89.19%,26 Nov 2022,22:48
Frostmore,1869,184.80,100.00%,184.80,88.93%,09 Nov 2022,20:28
Mynt17,1870,184.80,100.00%,184.80,88.93%,07 Nov 2022,00:42
itslinotlie,1871,184.80,100.00%,184.80,87.73%,16 Oct 2022,18:48
Anthy_123,1872,184.80,100.00%,184.80,90.28%,14 Sep 2022,13:33
Korean_Man,1873,184.80,100.00%,184.80,54.70%,19 Jul 2022,20:32
allisonisslow,1874,184.80,100.00%,184.80,93.82%,24 Mar 2022,22:33
nil,1875,184.80,100.00%,184.80,88.68%,01 Mar 2022,18:57
fruitchewy,1876,184.80,100.00%,184.80,92.21%,02 Jan 2022,00:00
joshbuggy,1877,184.80,100.00%,184.80,91.86%,30 Nov 2021,17:22
jdub2k4,1878,184.80,100.00%,184.80,90.00%,26 Oct 2021,14:05
AJFalconz,1879,184.80,99.57%,187.20,81.01%,05 May 2023,15:00
valente500,1880,184.80,99.57%,184.80,89.48%,14 Sep 2022,11:10
Orrnnery,1881,184.80,99.57%,184.80,84.36%,19 Sep 2021,17:18
monkeman6969,1882,184.80,98.73%,188.80,89.50%,29 Jan 2023,19:47
toastique,1883,184.80,98.73%,189.60,92.27%,27 Aug 2022,01:03
josephforehead,1884,184.80,98.73%,188.80,85.79%,13 Jan 2022,14:21
zalan,1885,184.80,98.72%,188.00,92.04%,22 Mar 2023,21:35
thaiboybrandon,1886,184.80,98.35%,193.60,93.65%,03 Nov 2021,22:30
dugvin,1887,184.80,98.31%,189.60,90.99%,04 Apr 2022,00:48
John20024,1888,184.80,97.92%,192.00,89.06%,22 Jul 2023,18:12
jaslee643,1889,184.80,97.50%,192.00,92.43%,17 Jun 2023,00:51
j_ak_e,1890,184.80,97.50%,192.00,93.55%,30 Dec 2022,20:08
haydenki,1891,184.80,97.08%,190.40,80.50%,21 Feb 2023,11:44
crackheadakira,1892,184.80,96.68%,191.20,90.78%,23 Sep 2023,18:19
Hipur,1893,184.80,96.40%,200.00,73.83%,27 Feb 2023,22:38
Pigssaymoo,1894,184.80,95.45%,184.80,52.02%,31 Mar 2022,22:28
Cheese_Steak1432,1895,184.79,100.00%,184.79,88.68%,18 Nov 2023,20:23
crate,1896,184.79,97.88%,188.79,85.24%,08 Dec 2023,15:21
cole22,1897,184.79,97.53%,194.39,90.12%,12 Nov 2023,13:18
Visual,1898,184.78,100.00%,184.78,85.62%,01 Sep 2023,10:38
matthewlloyd,1899,184.78,100.00%,184.78,92.21%,01 Aug 2023,23:53
Avernl,1900,184.78,98.74%,191.18,90.42%,16 Nov 2023,04:03
Avernl,1900,184.78,98.74%,191.18,90.42%,16 Nov 2023,04:03
bl4zd,1901,184.77,100.00%,184.77,87.28%,19 Sep 2023,21:23
rohitamar,1902,184.77,100.00%,184.77,84.85%,06 Aug 2023,14:00
lil_pete,1903,184.77,98.73%,188.77,89.76%,05 Jul 2021,19:11
BananaWana,1904,184.77,97.51%,192.77,91.06%,14 Oct 2023,20:27
kumalalaa,1905,184.76,99.16%,189.56,93.80%,04 Oct 2023,08:39
heavy,1906,184.76,97.53%,194.36,91.21%,08 Sep 2023,18:57
ntnl,1907,184.75,100.00%,184.75,89.72%,29 Oct 2023,01:34
williamxie11,1908,184.75,100.00%,184.75,89.19%,06 Jan 2021,00:13
kvnn,1909,184.75,99.57%,184.75,91.53%,27 Feb 2021,11:23
LouieBait,1910,184.75,99.16%,189.55,90.14%,19 Aug 2023,16:29
Coop_Lucas1,1911,184.75,99.15%,188.74,89.50%,02 Dec 2023,23:01
GigaChrist,1912,184.75,98.72%,184.75,86.19%,26 Oct 2023,23:18
tsinghua,1913,184.74,100.00%,184.74,91.52%,11 Nov 2023,00:27
RYon,1914,184.73,100.00%,184.73,90.00%,03 Nov 2023,21:51
aa4ls,1915,184.73,99.14%,184.73,88.52%,03 Apr 2021,18:09
soapboi,1916,184.73,98.74%,191.12,87.99%,19 Dec 2023,17:34
c_heese,1917,184.73,98.73%,189.53,89.61%,18 Nov 2023,21:25
Invisible_,1918,184.73,96.39%,199.12,85.95%,11 Oct 2023,04:15
marles,1919,184.72,96.30%,194.32,89.62%,17 May 2021,16:11
LILCHONGO,1920,184.71,100.00%,184.71,88.68%,10 Aug 2023,00:47
Voido,1921,184.71,98.72%,187.91,80.97%,29 Aug 2023,21:30
Fasttypr,1922,184.71,97.51%,192.71,86.85%,18 Dec 2023,14:35
qwertydawg,1923,184.71,96.36%,197.50,85.65%,19 Oct 2023,11:41
shweggy,1924,184.69,100.00%,184.69,90.00%,20 Nov 2023,19:51
choyo,1925,184.69,100.00%,184.69,87.73%,01 Nov 2023,16:55
jjjjjjjjjjjjjj,1926,184.69,100.00%,184.69,84.85%,20 Oct 2023,22:02
Caidren,1927,184.68,100.00%,184.68,87.96%,25 Jul 2023,17:41
Lapner,1928,184.68,100.00%,184.68,87.50%,03 May 2023,23:31
duckkeebs,1929,184.68,100.00%,184.68,92.58%,20 Mar 2023,13:42
fajar13k,1930,184.68,100.00%,184.68,91.19%,14 Mar 2023,09:17
firestar4430,1931,184.68,100.00%,184.68,92.58%,05 Feb 2023,17:01
soapytheshroom,1932,184.68,100.00%,184.68,88.93%,04 Feb 2023,23:38
bluzuli,1933,184.68,100.00%,184.68,87.96%,31 Jan 2023,00:53
VrajP,1934,184.68,100.00%,184.68,87.50%,11 May 2022,22:36
skippi_io,1935,184.68,100.00%,184.68,91.86%,03 Jan 2022,21:37
schneizeL,1936,184.68,100.00%,184.68,85.04%,28 Sep 2021,08:43
NoScopeMax,1937,184.68,99.16%,189.47,87.09%,26 Jan 2023,06:26
Jacobcantype,1938,184.68,99.16%,190.27,90.00%,12 Jan 2023,18:46
Xilver,1939,184.68,99.16%,189.47,89.87%,19 May 2022,23:38
JamesTypes,1940,184.68,98.74%,191.07,91.28%,12 Jan 2023,10:26
ravenraven,1941,184.68,98.73%,189.47,92.27%,15 Jun 2023,20:54
Ninetwelve912,1942,184.68,98.73%,188.67,86.18%,26 May 2023,04:47
jacketjacked,1943,184.68,98.72%,187.87,93.14%,02 Feb 2022,21:52
LemonsVia,1944,184.68,97.88%,184.68,81.22%,02 May 2023,09:51
Temos,1945,184.68,97.53%,194.27,90.93%,18 Dec 2021,17:48
iNub,1946,184.68,97.49%,191.07,88.43%,16 Feb 2022,01:53
Xail,1947,184.68,97.11%,192.67,91.27%,09 Apr 2023,23:09
jeeoh,1948,184.68,97.10%,192.67,82.47%,25 Apr 2023,20:21
DavBadalyan,1949,184.68,96.71%,194.27,91.51%,28 Dec 2022,15:49
JawadHussainy,1950,184.67,98.73%,189.47,91.60%,07 Nov 2023,09:57
JawadHussainy,1950,184.67,98.73%,189.47,91.60%,07 Nov 2023,09:57
superS55,1951,184.64,98.73%,188.64,89.00%,06 Sep 2023,06:08
AyyCap,1952,184.62,97.89%,189.41,91.93%,06 Dec 2023,21:25
catwithsocks,1953,184.60,98.72%,187.80,93.55%,23 Jun 2021,06:55
Crumba,1954,184.60,97.47%,184.60,88.17%,30 Nov 2023,12:04
ricefarmer420,1955,184.56,99.14%,184.56,90.64%,08 Dec 2023,13:37
abeamcube,1956,184.55,100.00%,184.55,87.06%,29 Oct 2021,08:09
enamorial,1957,184.53,100.00%,184.53,89.72%,10 Jun 2021,13:52
Cursiverr,1958,184.50,100.00%,184.50,89.45%,19 May 2021,09:26
AidenGood,1959,184.43,98.30%,184.43,89.32%,30 May 2022,23:11
Sapient,1960,184.08,97.51%,192.05,87.66%,14 Aug 2023,21:50
leowo1,1961,184.00,100.00%,184.00,91.52%,31 Jul 2023,13:49
triumphs,1962,184.00,100.00%,184.00,91.20%,12 Jul 2023,21:28
Travis0901,1963,184.00,100.00%,184.00,87.94%,02 Jul 2023,17:09
moerinoco,1964,184.00,100.00%,184.00,87.70%,30 Jun 2023,19:52
Green8763,1965,184.00,100.00%,184.00,89.71%,22 May 2023,05:18
Sstormwolf22,1966,184.00,100.00%,184.00,90.88%,14 May 2023,19:12
OutTheWindows,1967,184.00,100.00%,184.00,89.71%,16 Mar 2023,16:14
codenamemg,1968,184.00,100.00%,184.00,88.17%,10 Mar 2023,11:24
leverball,1969,184.00,100.00%,184.00,93.41%,03 Mar 2023,02:45
bohan.,1970,184.00,100.00%,184.00,92.22%,19 Nov 2022,15:01
stanleyzhang9,1971,184.00,100.00%,184.00,91.52%,06 Oct 2022,04:37
fmurtadho,1972,184.00,100.00%,184.00,91.52%,05 Oct 2022,03:11
tinu24,1973,184.00,100.00%,184.00,87.94%,20 Sep 2022,14:59
cobr4,1974,184.00,100.00%,184.00,90.57%,27 Aug 2022,20:00
phil2win,1975,184.00,100.00%,184.00,91.20%,14 Jun 2022,16:46
uttamkhanal,1976,184.00,100.00%,184.00,89.44%,07 Jun 2022,04:48
Wabadaba,1977,184.00,100.00%,184.00,87.94%,21 May 2022,20:10
jl324,1978,184.00,100.00%,184.00,89.44%,28 May 2021,02:02
Spinnerthegoat,1979,184.00,99.57%,186.40,88.52%,12 Nov 2021,16:33
itskxlez,1980,184.00,99.16%,189.60,83.46%,28 May 2022,05:14
Firebursted,1981,184.00,99.15%,187.20,88.34%,06 Jul 2023,01:58
cgwinter,1982,184.00,99.15%,188.80,90.30%,25 Mar 2022,01:39
xyli,1983,184.00,99.14%,186.40,92.62%,10 Mar 2023,21:55
seabot,1984,184.00,99.14%,184.00,54.24%,20 Aug 2021,20:31
TemmieTheSlayer,1985,184.00,98.76%,192.80,91.30%,14 Apr 2023,12:20
SomeRandomTyper,1986,184.00,98.73%,188.80,90.58%,15 Mar 2023,22:07
GadREKT,1987,184.00,98.72%,188.00,91.38%,12 Jan 2023,14:11
Fylth,1988,184.00,98.31%,189.60,94.73%,01 Jun 2023,19:51
DirtyPk09,1989,184.00,97.89%,187.99,87.30%,09 Oct 2023,22:29
DarkThirsty,1990,184.00,97.55%,196.00,88.24%,09 Jan 2023,10:13
ffervescent,1991,184.00,97.46%,188.80,90.03%,17 Jun 2022,02:22
ahabz21,1992,184.00,96.73%,196.00,90.87%,11 Jul 2023,17:18
qwfp,1993,183.99,100.00%,183.99,91.52%,07 Aug 2023,05:06
blovedwanderer,1994,183.99,98.73%,188.79,92.86%,09 Aug 2023,17:36
EilReivax,1995,183.99,98.72%,187.99,91.70%,01 May 2021,08:47
davidz,1996,183.99,96.71%,194.39,86.07%,13 Dec 2023,14:00
FastBoy,1997,183.99,96.34%,196.79,92.35%,13 Nov 2023,00:58
pandy69,1998,183.99,96.03%,201.59,88.26%,07 Oct 2023,14:15
Kompa,1999,183.98,100.00%,183.98,85.98%,18 Nov 2023,12:54
owoa,2000,183.98,100.00%,183.98,91.20%,28 Sep 2023,20:41
owoa,2000,183.98,100.00%,183.98,91.20%,28 Sep 2023,20:41
silent_alpacas,2001,183.98,100.00%,183.98,90.28%,13 Jul 2021,11:02
RL0ZADA,2002,183.98,98.74%,190.38,89.00%,20 Oct 2023,09:50
ongogablogian07,2003,183.98,97.50%,191.98,87.29%,04 Oct 2023,15:13
doom1806,2004,183.97,100.00%,183.97,88.92%,17 Oct 2023,00:54
Meels,2005,183.97,100.00%,183.97,91.87%,06 Jul 2021,21:12
rzmmachina,2006,183.97,100.00%,183.97,94.33%,03 Jun 2021,19:58
craftwarfan,2007,183.97,98.73%,188.77,84.70%,10 Aug 2023,09:12
JPTypes,2008,183.97,98.72%,187.17,91.00%,16 Nov 2023,14:57
Iittletinker,2009,183.97,98.72%,187.97,84.96%,20 Aug 2023,03:51
LazyBobbyMak,2010,183.97,97.55%,195.97,90.87%,13 Aug 2023,21:30
Astatine,2011,183.96,100.00%,183.96,88.66%,11 Dec 2023,04:01
henrygadams,2012,183.96,100.00%,183.96,92.22%,04 Dec 2023,08:42
bearddog,2013,183.96,100.00%,183.96,89.99%,09 Apr 2021,15:30
Zyhriz,2014,183.96,98.73%,189.56,90.14%,07 Sep 2023,17:20
stronglytyped,2015,183.96,98.73%,189.56,89.87%,11 Dec 2020,02:22
40percent,2016,183.95,100.00%,183.95,91.52%,15 Nov 2023,08:00
Shade6093,2017,183.95,100.00%,183.95,89.71%,31 Aug 2023,12:19
Aerodox,2018,183.95,100.00%,183.95,91.20%,05 Jan 2021,13:19
NaveTypes,2019,183.95,98.72%,187.15,89.07%,21 Dec 2023,23:40
marvick,2020,183.94,100.00%,183.94,90.28%,03 Oct 2023,13:12
preonoid,2021,183.94,100.00%,183.94,92.22%,13 Jul 2021,01:54
Denni,2022,183.94,99.57%,187.14,91.63%,01 Dec 2020,07:39
gtr7,2023,183.94,98.74%,190.34,90.55%,12 Dec 2023,19:15
darkstar263,2024,183.94,98.73%,189.54,90.14%,27 Sep 2023,00:30
Jabooshky,2025,183.94,98.72%,187.14,88.82%,16 Jul 2021,00:36
jeffcoolguy,2026,183.94,94.02%,200.73,90.37%,25 Feb 2021,21:24
h3lpless,2027,183.93,100.00%,183.93,88.41%,17 Dec 2023,15:07
sidnair2003,2028,183.93,98.72%,187.93,87.96%,17 Dec 2020,22:32
tima002,2029,183.92,100.00%,183.92,83.05%,21 Dec 2023,06:36
Pandas0nic,2030,183.92,98.73%,188.72,90.30%,13 Aug 2023,03:19
jadens,2031,183.91,100.00%,183.91,91.52%,13 Oct 2023,13:01
David_1on,2032,183.91,100.00%,183.91,90.88%,17 Mar 2021,09:50
nml,2033,183.91,98.33%,188.71,83.09%,12 Oct 2023,07:30
leafpoolsr,2034,183.90,99.57%,183.90,85.42%,19 Nov 2023,14:42
Berb,2035,183.90,97.50%,191.90,92.78%,08 Nov 2020,05:15
mrmeekins,2036,183.89,100.00%,183.89,89.17%,17 Oct 2023,20:03
ruby206,2037,183.89,99.57%,183.89,90.58%,26 Nov 2023,20:09
johnyknowhow,2038,183.88,100.00%,183.88,88.92%,20 Jul 2023,15:04
m4hhh4,2039,183.88,100.00%,183.88,91.20%,18 Jun 2023,21:44
ItzSpiro,2040,183.88,100.00%,183.88,92.60%,20 May 2023,11:27
avstinabn,2041,183.88,100.00%,183.88,87.47%,15 Feb 2023,10:32
mrlucifer0987,2042,183.88,100.00%,183.88,91.20%,20 Jan 2023,07:03
Nathan_Faber,2043,183.88,100.00%,183.88,92.22%,22 Nov 2022,14:04
orangejordan,2044,183.88,100.00%,183.88,92.22%,11 Nov 2022,22:10
amalhameli,2045,183.88,100.00%,183.88,89.44%,14 Oct 2022,12:16
nonamehere,2046,183.88,100.00%,183.88,89.44%,24 Sep 2022,07:41
Xalfin,2047,183.88,100.00%,183.88,92.99%,15 May 2022,09:42
josephtule,2048,183.88,100.00%,183.88,90.88%,01 Mar 2022,00:32
Cygnus,2049,183.88,100.00%,183.88,86.39%,23 Feb 2022,16:41
minesweper,2050,183.88,100.00%,183.88,90.28%,25 Oct 2020,02:11
minesweper,2050,183.88,100.00%,183.88,90.28%,25 Oct 2020,02:11
freddy,2051,183.88,99.57%,183.88,83.95%,19 Jan 2023,07:32
TorusField,2052,183.88,99.57%,183.88,83.95%,08 Jun 2022,13:54
windowsp_x,2053,183.88,99.57%,183.88,86.06%,23 Mar 2022,12:14
dd0aops542404,2054,183.88,98.80%,199.07,89.50%,30 Dec 2022,21:07
BillAbONGO,2055,183.88,98.74%,190.27,89.00%,11 Sep 2022,12:24
sezmia,2056,183.88,98.72%,187.87,93.14%,05 Apr 2023,13:02
Dorima,2057,183.88,98.72%,187.87,90.77%,20 Jan 2023,18:31
CaligulaAndNero,2058,183.88,98.72%,187.87,91.38%,16 Oct 2022,13:11
Mr_Potato53,2059,183.88,98.31%,188.67,88.52%,12 Jul 2023,00:12
Quinmo,2060,183.88,97.90%,188.67,86.22%,03 Nov 2022,12:28
hevex,2061,183.88,97.89%,189.47,85.17%,15 May 2022,02:11
trevorwright,2062,183.88,97.49%,191.07,84.38%,13 Dec 2021,15:56
WarHawk_047,2063,183.88,97.11%,193.47,89.42%,18 Jun 2022,05:52
cadenya,2064,183.88,96.69%,192.67,86.26%,29 Sep 2022,22:52
helenthearose,2065,183.88,91.41%,204.66,79.43%,27 Mar 2022,14:34
uint64_t,2066,183.87,100.00%,183.87,88.92%,02 Nov 2023,15:14
minmo,2067,183.87,100.00%,183.87,89.71%,11 Feb 2021,13:52
jonathanh8686,2068,183.86,98.73%,188.66,85.79%,16 Jun 2021,00:03
Ethandude7,2069,183.77,100.00%,183.77,89.99%,08 Dec 2023,10:47
conquodS,2070,183.63,100.00%,183.63,86.18%,29 Jul 2023,12:12
gocommittyping,2071,183.63,100.00%,183.63,59.36%,13 Oct 2022,20:09
tastysquare,2072,183.51,99.57%,183.51,84.13%,09 Jun 2023,08:25
Aarush.s1024,2073,183.51,94.40%,199.47,85.03%,19 May 2022,13:47
essu,2074,183.39,93.95%,197.74,87.53%,23 Nov 2021,09:55
MKJAI,2075,183.20,100.00%,183.20,91.55%,21 May 2023,01:09
qengu,2076,183.20,100.00%,183.20,90.00%,13 May 2023,14:56
ibbidibbidoo,2077,183.20,100.00%,183.20,89.45%,10 May 2023,06:44
kermitdafrog,2078,183.20,100.00%,183.20,90.29%,29 Apr 2023,09:20
N1v3x,2079,183.20,100.00%,183.20,88.41%,27 Mar 2023,11:52
meatbun,2080,183.20,100.00%,183.20,90.90%,25 Mar 2023,20:07
V1CK007,2081,183.20,100.00%,183.20,91.55%,03 Jan 2023,15:31
csoup,2082,183.20,100.00%,183.20,87.24%,31 Oct 2022,16:24
tayuun_,2083,183.20,100.00%,183.20,88.66%,12 Aug 2022,02:36
awildfern,2084,183.20,100.00%,183.20,92.64%,03 Jun 2022,21:59
Chjang,2085,183.20,100.00%,183.20,91.22%,05 Apr 2022,13:41
TFS.brtt,2086,183.20,100.00%,183.20,87.93%,11 Feb 2022,21:17
anton123,2087,183.20,100.00%,183.20,53.35%,08 Jan 2022,17:10
gamei56,2088,183.20,100.00%,183.20,90.90%,29 Aug 2021,23:00
