name,#,wpm,accuracy,raw,date,consistency
idekdiek,198,216.80,98.56%,221.60,89.75%,30 Aug 2023,03:20
ExplosiveDC,199,216.80,97.54%,227.20,86.57%,25 Sep 2023,23:01
spaceabyss,200,216.66,100.00%,216.66,88.66%,17 Jul 2022,02:19
spaceabyss,200,216.66,100.00%,216.66,88.66%,17 Jul 2022,02:19
cchur17,201,216.66,99.28%,222.25,90.18%,05 Jun 2023,05:49
muchkk,202,216.66,99.27%,219.85,93.50%,27 Jan 2023,18:31
Lamooq,203,216.66,99.27%,219.85,89.15%,07 Jul 2022,02:29
coldplaymx,204,216.66,97.87%,225.45,92.18%,21 Jan 2023,23:15
aywassup,205,216.66,97.17%,226.25,89.07%,19 Dec 2022,21:05
poem,206,216.51,100.00%,216.51,91.55%,27 Aug 2022,08:10
KingStealth,207,216.51,100.00%,216.51,92.58%,30 Mar 2022,14:21
Veristen,208,216.00,100.00%,216.00,89.66%,19 Mar 2023,02:32
BeastasFiist,209,216.00,100.00%,216.00,91.64%,13 Jun 2022,06:17
fikhornak,210,216.00,98.92%,222.40,93.21%,03 Jun 2023,10:50
MiniPeWZ,211,216.00,98.91%,220.00,90.95%,02 Apr 2023,14:45
ikandoit,212,216.00,98.91%,220.80,88.29%,05 Oct 2022,22:33
embee02,213,216.00,96.43%,224.00,90.48%,25 Nov 2022,18:14
lic0701,214,215.99,100.00%,215.99,88.71%,12 Oct 2023,19:42
ginoo75,215,215.91,100.00%,215.91,90.27%,12 Jun 2021,11:24
Dendroba,216,215.91,96.82%,226.31,92.54%,15 Aug 2023,17:07
FoggierDuck,217,215.86,100.00%,215.86,88.00%,18 May 2023,20:24
DERICK.,218,215.86,100.00%,215.86,89.66%,09 Feb 2022,22:04
BranTan,219,215.71,98.92%,222.10,93.21%,04 May 2023,11:31
dannysaur,220,215.20,100.00%,215.20,91.74%,24 Jul 2023,23:42
TheGame,221,215.20,100.00%,215.20,91.02%,19 Mar 2023,10:47
e6f4e37l,222,215.20,100.00%,215.20,88.95%,27 Mar 2022,03:11
radmac,223,215.20,98.57%,224.00,92.77%,05 Dec 2021,19:58
clappv,224,215.20,98.54%,219.20,91.18%,10 Jul 2023,21:03
submer,225,215.17,99.63%,217.57,87.61%,20 Dec 2023,06:15
LPZstephan,226,215.10,98.90%,215.10,90.58%,15 Nov 2023,11:33
DKT,227,214.91,93.54%,234.89,89.17%,17 Oct 2022,19:12
igoor,228,214.40,100.00%,214.40,92.12%,11 Mar 2023,18:49
Recontinued,229,214.40,98.90%,218.40,86.66%,06 Jul 2023,15:42
nuznuz,230,214.40,98.90%,218.40,88.97%,23 Jun 2023,20:19
coleslaw1,231,214.40,98.18%,219.20,88.10%,17 Jun 2023,14:52
xy137,232,214.37,100.00%,214.37,95.05%,08 Dec 2023,01:53
lammert,233,214.37,100.00%,214.37,93.58%,14 Sep 2023,08:00
leondreamed,234,214.36,100.00%,214.36,91.36%,23 Sep 2023,18:27
justlambert,235,214.36,98.18%,219.16,86.08%,04 Nov 2023,21:15
koalakoalakoala,236,214.33,97.84%,222.33,88.37%,06 Oct 2023,11:47
quitlessfus,237,214.30,97.51%,224.70,91.40%,01 Dec 2023,07:08
Dr.LawL,238,214.28,98.91%,220.68,92.90%,28 Mar 2021,05:19
William7042,239,214.27,100.00%,214.27,92.67%,20 Sep 2023,12:16
pog-,240,214.26,100.00%,214.26,91.86%,01 Dec 2022,19:04
Sanddle,241,214.24,95.90%,234.23,87.07%,02 Aug 2023,17:06
fortissim2,242,214.23,97.89%,227.02,91.71%,11 Oct 2023,18:01
mianbao,243,213.97,97.81%,218.76,91.41%,28 Apr 2023,13:21
lri,244,213.60,100.00%,213.60,91.01%,08 May 2023,12:05
Severare,245,213.60,100.00%,213.60,92.00%,23 Nov 2022,05:47
ThomasNuffer,246,213.60,98.90%,217.60,88.44%,26 Jul 2023,16:14
grhkm,247,213.59,100.00%,213.59,91.49%,24 Nov 2023,09:07
typerjustina,248,213.58,100.00%,213.58,91.25%,15 Aug 2023,12:18
Miniland,249,213.56,100.00%,213.56,85.32%,10 Nov 2023,18:50
g3ni,250,213.54,98.53%,218.34,91.44%,05 Oct 2023,09:28
g3ni,250,213.54,98.53%,218.34,91.44%,05 Oct 2023,09:28
poisondartfrog,251,213.50,100.00%,213.50,91.25%,04 Sep 2023,08:12
apol,252,213.50,100.00%,213.50,88.00%,12 Aug 2023,20:22
Jumpye,253,213.46,100.00%,213.46,89.70%,04 Oct 2021,13:20
nilam,254,213.46,99.63%,213.46,88.65%,18 Jun 2023,07:45
brzed,255,213.42,98.20%,220.61,71.80%,09 Dec 2023,12:38
Qwertoid,256,212.80,100.00%,212.80,91.64%,22 Jul 2023,00:04
dessle,257,212.80,100.00%,212.80,89.61%,14 Dec 2021,00:07
blender,258,212.80,100.00%,212.80,92.44%,24 Jul 2021,23:31
eruza,259,212.75,100.00%,212.75,92.44%,05 Dec 2023,06:16
richconnergmn,260,212.75,100.00%,212.75,93.03%,10 Nov 2023,21:50
flako,261,212.74,99.26%,215.94,92.41%,05 Nov 2023,18:16
Coookkieee,262,212.69,100.00%,212.69,87.23%,06 Aug 2023,20:10
kd.,263,212.66,100.00%,212.66,92.17%,25 Jul 2023,20:29
managerhwang,264,212.66,100.00%,212.66,91.90%,13 Jun 2022,04:44
GordonM,265,212.66,99.25%,212.66,89.21%,29 Jul 2022,03:06
KRiddytoo,266,212.66,98.89%,215.86,91.64%,14 Oct 2022,09:11
b1ack,267,212.66,98.89%,216.66,91.80%,07 Oct 2021,05:49
Fzun,268,212.38,100.00%,212.38,91.15%,06 Oct 2022,19:48
nask,269,212.00,100.00%,212.00,85.73%,23 Jul 2022,18:02
Remiel,270,212.00,99.62%,212.00,88.63%,29 Aug 2022,13:35
subpar,271,212.00,98.90%,218.40,86.07%,24 Mar 2023,19:26
Nurtheblur,272,212.00,98.55%,220.00,86.54%,04 Jan 2023,23:34
dispidi,273,212.00,97.50%,223.20,87.84%,03 Jun 2022,05:00
zymaz,274,212.00,97.11%,221.60,89.94%,19 Apr 2023,01:31
goodyhi,275,212.00,96.77%,223.20,91.95%,27 Aug 2022,00:29
krissle,276,211.97,98.90%,218.37,90.76%,01 Nov 2023,19:08
user5bdc4c5190,277,211.93,100.00%,211.93,90.60%,05 Dec 2023,18:46
foxtyping,278,211.93,100.00%,211.93,91.82%,29 Sep 2023,17:51
shift_deux,279,211.93,100.00%,211.93,93.25%,29 Jul 2021,06:41
tluo5458,280,211.86,100.00%,211.86,92.36%,08 Dec 2022,18:07
haha0201,281,211.86,100.00%,211.86,92.64%,22 Nov 2022,21:21
Ahmni,282,211.82,100.00%,211.82,91.56%,13 Jun 2021,17:50
Flygoat_,283,211.72,100.00%,211.72,89.73%,31 Aug 2022,13:39
drphilforehead,284,211.58,98.89%,216.37,89.41%,18 May 2023,12:54
arvincat,285,211.20,100.00%,211.20,92.29%,31 Jul 2023,09:49
jivan1008,286,211.20,100.00%,211.20,89.26%,14 Jul 2023,22:27
unmade,287,211.20,100.00%,211.20,86.11%,16 Jun 2022,06:01
jeramisu,288,211.20,99.62%,211.20,90.60%,12 Sep 2022,03:20
Strawberrys,289,211.20,99.25%,211.20,85.96%,26 Feb 2022,23:04
ven,290,211.20,98.89%,216.00,89.66%,04 Aug 2022,12:47
egrodo,291,211.20,98.88%,215.20,91.25%,27 Jul 2023,11:18
Syrupsandwich,292,211.20,97.78%,216.00,88.17%,08 May 2023,14:36
Koribakusuta,293,211.17,100.00%,211.17,93.18%,05 Oct 2023,23:22
mini,294,211.17,100.00%,211.17,86.75%,21 Jul 2021,01:27
kairm,295,211.17,96.79%,223.97,88.99%,26 Aug 2023,16:34
gvuzi,296,211.15,100.00%,211.15,91.50%,05 Mar 2021,12:44
Fyda,297,211.13,100.00%,211.13,88.49%,13 Nov 2023,04:28
bad_ian,298,211.12,95.14%,230.31,89.38%,23 Nov 2023,17:15
NukkiZip,299,211.11,97.84%,222.31,90.79%,29 Nov 2023,22:37
minusminusminu2,300,211.06,100.00%,211.06,93.51%,04 May 2023,14:09
minusminusminu2,300,211.06,100.00%,211.06,93.51%,04 May 2023,14:09
wtrc,301,211.06,100.00%,211.06,71.19%,22 Apr 2022,09:03
hiptopia,302,210.40,100.00%,210.40,89.61%,12 Apr 2022,01:54
iggedi,303,210.39,100.00%,210.39,87.18%,29 Nov 2023,08:50
ruleoftrees,304,210.38,94.62%,222.38,83.25%,07 Oct 2023,01:40
abcfrosty,305,210.36,100.00%,210.36,92.24%,23 Aug 2023,22:14
quadroopl,306,210.34,100.00%,210.34,90.72%,10 Jul 2021,08:32
Skarokin,307,210.32,97.41%,215.91,92.41%,19 Apr 2021,22:54
im_good,308,210.31,99.63%,213.51,91.25%,02 Sep 2023,06:55
Raritaniium,309,210.31,98.88%,214.31,92.39%,25 Oct 2023,17:33
Octahedron,310,210.26,100.00%,210.26,91.97%,23 May 2023,19:37
kogasa,311,210.26,100.00%,210.26,88.81%,17 Apr 2021,07:18
RazorLeM0n,312,210.26,98.88%,214.26,92.96%,25 Aug 2022,06:25
kim14,313,210.26,98.87%,210.26,82.47%,09 Mar 2023,11:58
alexaa543216,314,210.26,98.52%,215.86,89.80%,12 May 2023,21:42
teaa,315,210.11,100.00%,210.11,90.54%,30 Aug 2023,16:48
Veirt,316,209.60,100.00%,209.60,90.22%,08 Feb 2023,22:04
konstanz,317,209.60,100.00%,209.60,89.37%,29 Nov 2022,12:32
adma,318,209.60,100.00%,209.60,86.80%,24 Jun 2022,13:01
Fruit,319,209.60,98.89%,216.80,90.64%,25 Jan 2023,14:37
tizzle,320,209.60,98.88%,213.60,92.27%,24 Oct 2022,18:49
Skelig,321,209.60,98.51%,214.40,91.12%,17 Feb 2023,07:07
FlamingShitbag,322,209.56,98.53%,217.56,85.22%,22 Dec 2023,04:19
LD_,323,209.54,98.55%,219.94,94.14%,02 Oct 2023,21:53
Caliberr,324,209.53,100.00%,209.53,86.97%,13 Dec 2023,00:52
zand,325,209.46,99.25%,212.66,92.44%,03 Jan 2023,22:34
omnomville,326,209.46,98.87%,209.46,81.32%,26 Feb 2023,08:07
EvanWasHere,327,209.46,98.50%,212.66,90.68%,16 Jul 2023,23:16
monkeytypeSUX,328,209.46,98.17%,218.25,89.73%,03 Mar 2023,12:51
spondulix,329,209.32,98.88%,213.32,92.27%,24 Jul 2022,12:36
amoges,330,208.80,100.00%,208.80,88.74%,20 May 2023,14:22
therockobama,331,208.80,100.00%,208.80,92.79%,17 May 2022,16:34
Axivy,332,208.80,98.87%,212.80,82.84%,18 Dec 2021,13:58
berryberry,333,208.79,100.00%,208.79,90.66%,12 Dec 2023,11:30
Romanek159,334,208.77,100.00%,208.77,93.10%,17 Aug 2023,07:39
tzlil,335,208.77,97.83%,220.77,90.95%,21 Oct 2023,00:49
notagain,336,208.76,100.00%,208.76,88.35%,28 Aug 2023,07:41
ryster56,337,208.75,96.07%,223.94,86.21%,04 Dec 2023,11:48
vuldr,338,208.74,98.88%,213.54,91.49%,22 Aug 2023,20:23
peterpeterli,339,208.68,100.00%,208.68,92.79%,19 Mar 2021,14:35
KidPiano,340,208.66,100.00%,208.66,94.14%,04 Jun 2022,21:41
lyrium,341,208.66,100.00%,208.66,92.20%,24 Apr 2022,08:51
grayeyes,342,208.66,100.00%,208.66,90.66%,26 Sep 2021,21:29
ALbertzjkk,343,208.66,98.52%,216.66,92.00%,18 Apr 2023,11:15
dinker,344,208.66,97.79%,217.46,88.63%,24 Nov 2022,00:32
Tetritz,345,208.66,97.75%,213.46,90.33%,04 Jun 2023,01:39
jennocide,346,208.63,100.00%,208.63,91.93%,14 Jul 2021,01:50
hus,347,208.52,100.00%,208.52,88.35%,01 Jun 2022,12:32
dominic05,348,208.52,100.00%,208.52,88.74%,27 May 2022,12:58
hetpet,349,208.00,100.00%,208.00,89.75%,03 Mar 2023,11:56
John666695,350,208.00,100.00%,208.00,87.24%,16 Oct 2022,18:42
John666695,350,208.00,100.00%,208.00,87.24%,16 Oct 2022,18:42
bummered,351,208.00,100.00%,208.00,91.15%,21 Jun 2022,16:37
galaxied,352,208.00,99.24%,209.60,88.77%,13 Apr 2022,04:09
MameronCoody,353,208.00,98.87%,212.00,91.82%,18 Jun 2023,16:41
